Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
2015,20.98709677,25.57096774,25.89354839,25.89354839,25.89354839,26.48695652,26.05806452,22.31290323,24.4483871,22.31290323,26.05806452,27.35483871,25.57096774,24.6,25.893402575651937,26.3981206197,25.758864237839997,25.545209828689824,24.8991598908,25.890868165
2016,24.71612903,26.8483871,27.64,27.64,27.64,27.89354839,25.72580645,25.4516129,26.11935484,25.4516129,25.72580645,28.23225806,26.8483871,26.18,26.64918929873312,26.597335481899997,27.125424515920002,26.959851664552815,25.8558709662,26.972490321400002
2017,22.55483871,24.76774194,26.62258065,26.62258065,26.62258065,27.80967742,24.77741935,23.30967742,24.7483871,23.30967742,24.77741935,27.40645161,24.76774194,24.78387097,25.593200765416487,25.727322577200002,25.910703228339997,25.755087608829033,24.5301290305,25.900612903600003
2018,20.27096774,24.4483871,26.08709677,26.08709677,26.08709677,27.2,24.46129032,22.68709677,24.86774194,22.68709677,24.46129032,27.20645161,24.4483871,25.11612903,25.199293952480648,25.409451610300003,25.45773548116,25.28929958457189,24.2235161263,25.4827419326
2019,21.9483871,25.69677419,26.78709677,26.78709677,26.78709677,28.47096774,24.59032258,23.34516129,25.3,23.34516129,24.59032258,27.69354839,25.69677419,25.76774194,25.654595031268457,25.730774193499997,26.136148384240002,25.930714333491245,24.630870967899998,26.0315806438
2020,22.62258065,26.47741935,27.05806452,27.05806452,27.05806452,27.24193548,25.46129032,23.9516129,25.10967742,23.9516129,25.46129032,27.37419355,26.47741935,25.61290323,26.11360220125627,26.142161289100002,26.55762580746,26.316410189607833,25.2115806438,26.364322581499998
2021,21.4516129,26.64193548,27.84193548,27.84193548,27.84193548,29.07096774,26.17419355,24.48709677,26.52903226,24.48709677,26.17419355,28.81935484,26.64193548,26.13225806,26.91107532005197,27.1093548397,27.26292257796,27.048064565296315,25.8505806441,27.195258063199997
2022,24.52903226,27.49677419,28.0,28.0,28.0,27.9,27.34193548,24.99677419,27.22258065,24.99677419,27.34193548,29.09354839,27.49677419,26.28387097,27.613544854505015,27.8528064499,27.716541934340004,27.528451664963132,26.6498709653,27.7400967735
2023,23.38064516,26.0483871,26.55483871,26.55483871,26.55483871,27.8483871,25.81612903,23.96774194,26.00967742,23.96774194,25.81612903,27.89354839,26.0483871,25.08387097,26.217182846379924,26.501741935,26.29867742008,26.159092217529953,25.319322580999998,26.3739032262
2024,24.39354839,26.1516129,28.06774194,28.06774194,28.06774194,29.07096774,26.55483871,24.59354839,26.49354839,24.59354839,26.55483871,28.97096774,26.1516129,26.11612903,27.20253410370717,27.400612903099997,27.399400002180002,27.255852589164057,26.0979677425,27.4581290338
